stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,16,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.28,0.28,0,0.28,0.85,0,0,0,2.25,0,0,0.28,0,0.85,0,0,0
21Day,1.11,0,0.37,1.48,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0,9.62,0,1.85,0,0.37,0,0,0,0,1.48,0,0,0.37,0.37,0.37,0,0,0
3Month,0.21,0.1,0.21,1.04,0,0,0,0.31,0.1,0.62,0,2.91,0.1,0.1,0.1,2.08,0.42,0.31,3.12,0.1,0.52,0.73,0,0,0,0,0,0,0.21,0.42,0,0,0,0.1,0.1,0.31
22Month,0.55,0.82,0.14,0.55,0,0,0.14,0.41,0,0.41,3.42,45.5,0.14,0.27,0.41,0.41,0.14,1.23,9.29,1.37,0.41,0,0,0,0.14,0.14,0.68,0,0.14,4.37,1.23,0.27,0.14,0,0,0.27
