stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.56,0,0,0,0.56,0,0,0,0,0,0,0.28,3.95,1.41,0,0,0.28,0,0.56,0.56,0,0.56,0,0,0,0,0,0,0,0
21Day,0.37,1.48,0.74,0,0,0,0,0.74,0,0.37,0,3.33,0,0.37,0,4.07,9.25,0,0,0,0,0.37,0.37,0,0.74,0.37,0,0,0,0.74,0,0,6.66
3Month,0,2.08,1.46,0,0,0,0.52,14.77,0.1,1.98,35.26,1.04,0.73,0.73,0.52,10.19,7.18,1.66,0,0.94,0.31,0.1,0,0.21,0.62,0.21,0.1,0.21,0.31,0,0.42,0.52,22.88
22Month,0,0.96,0.55,0,0.41,0.14,0.27,22.68,0.27,2.87,12.57,1.78,0.41,0,0,10.25,4.1,0,0.14,0.14,0,0,0,0,0.27,0.14,0,0.27,0,0,0,0,15.03
