stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,1.69,0.56,0,0,0.28,0.28,0,0,0,0
21Day,0,0,0,0,1.48,0,0,0,0,0,0.74,0.74,0,0.37,0.37,0,1.11,4.44,0,0.37,0,0,0
3Month,0.1,0.83,0.1,0.42,4.58,0.73,0.94,0.31,0.62,0.21,1.14,0.31,0.73,0,0.1,0.21,0.31,24.13,0,0,0.31,37.55,0.21
22Month,0.14,0,0.14,0,0.68,0,0,0,0,0,0.14,0,0,0,0,0,0,8.34,0,0,0,0.41,0
