stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,2,15,0,0,0,1,9,85,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,1.13,0,1.69,0.28,133.6,0,0.56,0,0,0,0,0,0,0,0.28,2.25,0.85,5.07,0,0,0.28,0.28,90.47,12.68,0.28,0.56,0,5.36,0,0,0.85,2.54,3.66,0,0,0
21Day,1.48,0,10.36,0.37,88.8,0,4.44,0,0.37,0,0,0,0.74,0,0,1.85,0.37,6.29,0,0,0.74,0,36.63,2.22,0.74,0,0,2.59,4.81,0.74,0.37,3.7,8.14,0,0.37,2.59
3Month,0,0.1,8.84,0.21,0,1.35,0.42,0,0.42,0,1.56,1.87,0.31,0.42,0.83,0.73,0.73,1.35,0.42,0,0.21,0.1,1.77,0,0.83,0.21,0,0.1,0.21,24.03,0.31,0,0,0.42,28.4,2.18
22Month,0,0.55,2.6,0.14,0,0.55,0.41,0.14,0.55,0.68,4.24,0.41,0.14,0.14,0.14,0,0.68,3.55,0.14,0.14,0.55,0,0.68,0.68,0.96,0.14,0.27,0.27,0,3.14,1.37,0.41,0,0.27,0,0.68
