stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,5,1,30,0,0,0,0,15,23,0,0,0,4,0,0,0,0,0,1,0,0,0
72hpf,2.54,4.79,0,4.79,0.56,0.28,0,0,0,0,0,0,0,0,0,2.25,6.2,0,22.83,0,0.56,0.56,0,7.89,4.51,0.28,0.28,0,23.96,0.28,0,0,0,0,1.69,0,0,0
21Day,11.84,2.22,0.37,14.8,0.74,0.74,0,0.37,0.37,0,0,0.74,0.37,0,0.74,0,5.92,0.37,25.9,0,0,4.81,0.37,4.44,2.22,0,1.48,0,11.47,2.59,0,0,0.37,0.37,2.59,0.74,0,0.37
3Month,0.1,6.24,0.31,16.23,0.1,0,0,0.21,0.52,1.35,0.1,1.87,7.49,0.21,1.87,1.14,9.05,1.04,13.73,6.55,0,1.87,0.94,0.62,0.1,0.31,0.62,0,0.73,0.21,0.1,0.21,0.21,0,0.1,1.66,0.1,0.21
22Month,0.14,16.12,0.55,10.11,0.14,0,0.14,0.14,0.68,0.96,17.76,9.7,0.96,0.27,2.19,0.14,5.33,0.68,12.16,0.55,0.68,1.09,0,0.14,0,0.27,0.96,0.14,0.82,0,0,0.14,1.23,0,0,0.14,0,0.14
