stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.28,0.85,0.28,0,0
21Day,0.37,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0,0.1,0,0,0,0,0,0.1,0.1
22Month,0,0.41,0,0,0,0,0,0,0,0
