stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0
72hpf,0.56,0.56,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,3.95,0,0.56,0,0,0,0,1.13,0.28,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0.37,5.18,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0,2.59,1.48,2.22,0,0,1.11,0,1.85,0.37,0,2.59,0,0,1.11,0,0,1.85
3Month,0,1.35,0.1,12.17,0.1,0,0.1,0.21,0.1,1.56,3.33,0,0,2.29,7.28,0,2.29,0.52,3.33,2.6,3.85,0.94,0,2.81,0.1,0.1,0.1,1.14,0.31,0.21,4.37,0,0.21,0.94,5.62
22Month,0,1.64,0.27,4.51,0,0,0.14,0.14,0,0.55,3.69,0.14,0,2.46,1.5,0.96,3.55,0.14,1.23,3.55,3.96,0.27,0.14,1.37,0,0,0,0.41,0.14,0,1.09,0.14,0.27,0,2.19
