stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0
3Month,0.1,0.42,0.31,0,0.21,0.31,11.03,0.21,0.42,0,0,0,0.1,0.42
22Month,0,0.55,0.14,0,0.14,1.78,9.98,0,0,0.14,0.14,0.14,0,0.14
