stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,5.55,1.48,0,0.37,0,0,0.37,7.03,0.74,0,0,0.37,0,1.11,0.37,0,0,1.11,0,0,0.74,0.37,0.37,0,2.59
3Month,0,0,0.1,3.64,0,0.31,0,0.21,1.14,0.21,0.73,0.31,1.35,0.52,0.1,0,0,0,0.1,0.1,0.1,0.21,0.1,0.1,0,0,0.1,4.78
22Month,0,0.14,0,0.96,0,0.14,0,0.41,2.05,0.55,0,0,0.14,0.14,0.41,0.14,0,0,0.14,0,0.14,0,0,0,0,0,0,3.14
