stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
72hpf,0.28,1.13,0,0,0,0,0,0.56,0.28,0.56,0,0,0,0.28,0,0
21Day,0,1.85,0.37,0,0,0.74,0,1.11,0,0,0.37,0.37,0,0,0.37,0
3Month,0,0.21,0,0.1,0,0,0.1,0,0,0,0,0,0.52,0,0,0.94
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0
