stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0.56,0,0,0,0.28,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0
3Month,0.42,0.21,0.1,0.31,0.21,0.21,0,0.1,0,0,0.21,0.1
