stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,4,1,11,0,0,0,3,0,0,0,2,5,6,18,5,190,2,0,0,0
72hpf,1.13,0,0.85,0.28,0.28,0,0,0,0,0,0.28,1.13,0,3.38,4.79,11.27,2.25,0,0.28,0.28
21Day,1.11,0,1.48,0,1.11,0.74,0,0,1.11,0.37,0,0,0.37,1.48,0.37,4.81,0.37,0.37,0,0.37
3Month,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
