stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,19.73,1.97,0,0.56,0,0,0,12.97,11.84,0
21Day,0.37,0.74,1.85,0,1.11,0,0.37,0,0,0.37,0,0.37,0,1.11,0.37,3.33,0,0,4.07,1.48,0.37,0.74,0.74,0,0,32.93,55.87,0.37
3Month,0,0,0.31,0,0,0,0,0,0,0.1,0,0,0.21,0.1,0,1.04,0.1,0,2.18,0,0,0,0.1,0.31,0,0,0,0
22Month,0,0.14,0.68,0.14,0,0.27,0,0.82,0.14,2.6,0.27,0.14,0.14,0,0.14,6.56,0,0.14,1.23,0,0.27,0,0,0.14,0.14,23.64,0,0.14
