stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0.56,0,14.94,1.41,0,0,0.28,0.28,0,0,1.13,0,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0,0,0.74,0,11.1,1.48,0,0.37,0,0.74,0,0,0.74,0.74,0,0.37
3Month,0.21,0,0.21,0.1,0.73,0,0,0.31,0,0.1,0.1,0,0.42,0,0.21,0,0,0,0.1,0.1,0,0,0.1,0
22Month,0.14,0,0,0.27,2.46,0.14,0,0.41,0,0.41,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
