stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0,0,0,0,0.56,0,0,0,0,0
21Day,0,1.85,0,0,0,0,1.85,0,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0.21,0.94,0.1,0.52,0.1,0.73,0,0.21,0,0.1,0.1,0.1,0,0,0,0.1,0,0.31
22Month,0.14,0.55,0.14,2.05,0.14,1.37,0,0.14,0.27,0,0,0,0,0,0.14,0,0.27,0
