stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.56,1.69,0.56,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.1,0.21,0,0.21,0,0,0,0,0,0,0,0.83,0.42,0.1
22Month,0,0,0,0.27,0,0.14,0.14,0,0.41,0,0,0,0,0,0
