stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,137,0,0,0,0,0,0,0,2,0,0
72hpf,2.25,0.56,2.82,0.56,0,0,0,0,0,0.28,3.38,1.13,0,0.28,0.28,163.47,42.84,0.28,2.54,0,0,4.51,0,0.28,2.82,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0.74,0.37,0,0,0,14.8,10.73,0,0,0.37,0,1.11,0,0.74,1.11,0,0
3Month,0,0.21,0.1,0,0.1,0,0.21,0.1,0.1,0.31,0,0,0.1,0,0,0,0,0,0,0.21,0.21,0.52,0,0,0,0.62,0.21
22Month,0,0,0,0,0,0.27,0.82,0.27,0.41,0,0,0.14,0,0,0,0,0.27,0,0,0.14,0,1.09,0.14,0,0,0,0
