stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,1,1,0,0,0,1,0,0,1,18,0,0
72hpf,0,0,0,0,0,0,0.28,0,1.13,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0
3Month,0,0.31,0.1,0.21,0.1,0,0,0.1,0,0,0,0.1
22Month,0,0,0,0.27,0,0,0.14,0,0,0,0,0
