stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.85,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0.37,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0,0,0
3Month,0,0.31,0,0.1,0.62,0,0.21,0,0.1,0.1,0.1,0,0.1,0.1,0.31,3.22
22Month,0,0,0,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0
