stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0.74,0,0,0,0.74,0,0,0.37,7.4,0.37,1.11,0,3.7,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0,8.88
3Month,0.31,0.31,0.21,2.18,0.1,0,0.1,0.21,0.42,17.68,0,19.35,14.98,2.7,2.08,0.62,0.83,9.05,1.66,0.62,0,0.31,0.1,0,0,0.42,0,0,0.1,0.62,0,2.39,0,0.1,0.42,4.16,41.09
22Month,0,0.96,0.14,2.32,0,0,0.55,0.14,0.27,19.81,0.68,26.51,7.52,2.87,1.91,0.14,0.82,9.29,2.19,0.14,1.37,0.27,0,0.27,0,0.27,0.41,0.14,0.14,0.27,0.14,0,0,0,0.27,0,16.4
