stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,0,0,4,0,0
3Month,0,0.1,0.21,0,0.1,0,1.35,0.21
22Month,0,0.27,0.27,0.41,0,0,0.27,0
