stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.25,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0.28,0,0,1.13,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0.74,0,0,0,0.74,0,5.55,0,2.96,0.37,1.11,0,0.37,0,0,0,0,0.37,0.37,0.74,0,0.37,0,0.37,0.37,0,0,0
3Month,0,0.83,2.81,0,0.1,0.1,6.03,0.31,35.57,0.62,17.16,0,0.1,0.52,0.73,0.31,0.1,0.83,0.1,0,0.1,0.52,0.1,0.73,2.18,0.1,0,0.31,0.52,0.1
22Month,0,0,0.14,0,0,0,0.55,0,0.41,0.14,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0.14,0,0
