stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,8.51,0,1.11,0,0.37,0,0,0,0,0.37,0,0.37,2.96,0,0.37,0,0.37,23.68,0,1.85,0.74,0,0,0.74,0.37,0,0,0,0.37,0,0,0
3Month,0.73,0.42,5.93,0.1,0,0.1,1.04,0.94,0.1,4.16,1.46,0.1,1.56,0.52,0.62,0.62,1.87,0.83,0.42,60.02,0.42,0.21,0.1,0.31,0.31,0,0.62,0.62,0.31,0.1,0,0.52,0.83,0.62
22Month,0.55,0,0.96,0,0,0,0.14,0.41,0,1.91,0.41,0,0.27,0.14,0.14,0.41,0.68,0,0.14,25.28,0,0,0,0.14,0,0,0.27,0.14,0,0,0,0,0,0.14
