stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21Day,0,0,0,0,0,0,0.74,0,0,0.37,0,0,0.37,0.37,0,0,0,0
3Month,0.1,0.21,0.1,0,0,0.1,3.74,0.1,0.1,0.21,0,0,0,0,0.21,0.1,0.21,0.1
22Month,0.68,0.68,0.55,0.14,3.01,0,18.99,0,0,0.14,0.14,0.14,0.14,0,0,0,0,0
