stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0.56,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,0.85,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0.74,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0
3Month,0.21,1.98,0.31,4.26,0,0.21,0.1,0.83,1.25,0,4.06,1.46,0.1,2.6,0.62,1.77,1.35,2.18,0.31,0,0.52,0.1,0.31,0.21,0,0.1,0.83,21.32,0.21,64.7,29.85,0.73
22Month,0,0.96,0.14,0.68,0,0,0.41,0.14,0.27,0.55,3.96,0.27,0,0.68,0,0.14,0.82,0.96,0,0.41,0.14,0,0,0,0.14,0,0.14,5.88,0,17.35,0.14,0.27
