stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,0,0,0.28,0.56,0,0.28,0,0,0
21Day,0,0,0,2.59,0,0,0,0,0,0,0,17.76,0,0.74,0,0,0,0.74,0.37,0,0.37,0.37,0,0
3Month,0.1,0,0.1,11.03,0,0,0.73,0.42,0,0.31,0.52,0.1,0.1,0,0.1,0.21,0.1,0.1,0,0,0,1.35,0.1,0.21
22Month,0,0.27,0,3.42,0.14,0.14,1.64,0.27,0.14,0.14,0,0,0,0,0.14,0.14,0.14,0,0,0.14,0,0.68,0,0
