stage,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,1,2,0,0,12,0
72hpf,0,0.56,0.28,0.28,0.85,0
21Day,0,0.37,0,0,1.11,0.37
