stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,32.69,0,0,0.56,0.85,0,0,0,0,0,0,0,0,0,1.97,0,1.13,0,0,0,2.82,1.13,0,0,0.85,0,0,0.56,0,0,0,0
21Day,17.76,0,0,2.96,1.11,0,0,0,0,0.37,0,0.37,0.37,0.37,0,0.37,2.96,0,0.37,0,1.48,2.22,0,0.37,1.85,0.74,0,0,0,0,0,0.37
3Month,4.47,0.1,0.1,52.11,0,0.21,0.1,1.04,1.04,4.26,1.25,0.42,15.81,1.14,4.16,1.35,1.46,0.1,11.44,0.42,0.1,0,0,0.1,0.1,1.35,2.08,0.21,0.1,0.94,0.52,0.42
22Month,1.78,1.09,0.27,5.06,0,0.14,0,0.27,0.68,6.01,0.68,0,1.37,0.27,1.23,0.41,1.23,0.14,1.78,0,0.14,0.14,0.14,0,0,0,0.27,0,0,0,0,0.82
