stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,7.89,0.56,0,0,0,0,0,0,0,0,62.01,0.28,0.28,0,0,1.13,2.54,0,1.97,0,0,0,0.28,0,0,0
21Day,0.37,0.37,0,16.28,0.37,0,0,0,0,0,0.37,0,0,31.82,0,0.74,0,0.37,0.74,0.37,0.74,0.74,0.74,0,0.74,0,0,0,0
3Month,0,0,0.1,2.91,0,0.21,0.31,0.42,8.53,0.73,0.1,1.25,0.1,13.73,0.52,3.33,0.1,0.42,0,0,0,0,1.04,1.87,0.1,0,0.21,0.73,0.21
22Month,0,0.27,0,0.55,0,0,0.14,0.68,6.15,0.41,0.14,0.41,0.14,0.41,0.14,0.14,0,0.14,0,0,0,0,0,0.55,0.27,0.14,0,0,0.14
