stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,23,0,0,1,3,0,0,0,0,0,0,0,0
72hpf,3.95,0,0,0.85,0,0,0,0,0,0,0.28,0,0.56,0,0.85,0,0,0.28,0.28,0,0.28,0,0,0,0,0,0
21Day,4.44,0,0,4.44,0.37,0,0,0,0,0,0,0,3.33,0.37,0.74,0,0.37,0.37,0.74,0,1.48,0,0.37,0,0.37,0,0.37
3Month,1.25,0.21,0,1.04,0,0.31,0.1,1.56,0.62,0.1,0.31,0.21,0.42,0.1,0.52,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0.21
22Month,0.41,0.27,0.14,0.55,0,0.41,0.41,4.78,0.27,0.27,0.55,0,0.14,0.27,0.82,0.14,0.14,0,0,0,0,0.14,0,0.14,0,0,0.68
