stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0.28,2.25,0.28,0,0,0,0,0,0,0,1.41,0,0,0,0
21Day,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0.74,1.11,0,0.37,0,0,0,0.37,0,0.74,0,0,0,0,0,0,0,2.22,0,0,0,0
3Month,0.1,0.52,0.52,64.18,0.73,0.21,0.1,1.35,2.81,0,16.54,3.33,0.31,5.82,4.26,2.5,2.81,1.98,0.62,0.21,1.04,2.5,0.52,0,0.73,0.73,0,0.52,2.7,6.24,0.42,0.21,0.21,0.42,336.08,2.18
22Month,0,0.14,0,30.75,0,0,0,0.27,0.82,0.27,21.59,0.41,0.27,1.37,0.82,0.27,0.82,1.23,0,0.27,0.27,0.41,0.14,0.14,0.27,0.14,1.23,0,0,2.6,0.14,9.02,0.27,0,1.5,0.27
