stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8,2,0,12,1,0,0,0,6,0,0,0,0,1,17,6,28,0,0,0,6,122,0,0,9,0,0,0,2,0,0
72hpf,0.56,0,0,0.56,0.28,0.28,0,0,0,0.28,0,0,0,0,9.02,0,0.28,0,0,0,1.41,0.56,0,0,0.28,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.31,0,0,0.1,0
22Month,0,2.32,0.27,2.05,0,0,1.5,1.37,0,16.53,1.91,0.14,0.41,0.14,0.14,0.82,1.78,0.82,0.82,0.27,0,0,0.27,45.5,0,0,0,0.27,0,0,0.55
