stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0.85,0.28,0.85,0,0,0,0,0,0,0,0.85,1.97,0.56,1.41,0,0,119.79,9.86,0.56,0.28,0.56,0,0,1.41,0,0.28,0,0
21Day,0.37,0,1.48,1.11,2.59,0,0,0,0.74,0,0,0.74,0,0.37,0.74,0.74,0,0,77.7,3.33,0.74,0.37,0.74,1.11,0,0.37,0.74,0.37,0,0
3Month,0,0,0.83,0,0,0.21,0.21,0,1.46,0.31,0.21,0.31,0,0.31,0.42,0.21,0.1,0,0,0,0,0,0,0,0.52,0,0,0,0.83,0.1
22Month,0,0.14,0.55,0,0,0.14,0.68,0.41,6.97,0.55,0,0.27,0,0.41,0.41,0.27,0,0.14,0.14,0,0.27,0,0,0,0.14,0,0.14,0,0,0
