stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0,0,0.28,0.28,0,0,0
21Day,0.37,0,1.85,0,0,0,0,1.48,0,0.74,0,0,0,0.74,0,0.37,0,0,0
3Month,0,0.21,0.52,0.1,0.52,0,0.21,0.83,0.1,1.87,0.1,0,1.14,0.1,0,0,0.21,5.93,0.1
22Month,0,0.41,0.41,0,1.37,0.14,0,0,0,1.37,0.14,0,1.09,0,0,0,0,0.68,0
