stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,9,1,0,0,0,0,0,0,0,0,0,1,4,8,0,0,0,2,55,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.69,1.13,0,0,0,0,0,0,0.28,0,1.41,1.69,0,0.85,0,0.28,0,8.17,6.48,0.28,0,0,0,0.28,0.56,0,0,0,0
21Day,0.74,0,0.37,0.74,0,0,0.37,0,0.37,0,0,5.55,0,0,0.37,1.85,0.37,0,0,0,2.22,0.37,0,0,0.37,0,0.37,0,0,0,0,1.11
3Month,0,0,0,4.26,0.31,0.1,0,0.1,0.31,0.94,2.81,0.1,1.04,2.29,0.1,4.89,0.42,0.1,0.21,0.31,0.73,0.21,0.1,0.31,0,0.21,24.65,0.21,0.21,0.1,5.3,3.95
22Month,0,0,0,0.68,0,0,0,0,0.27,0.96,0.27,0,0,0.14,0,0.68,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
