stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Nephron_cell,Primordial_germ_cell,Smooth_muscle_cell
3Month,0.21,0.52,1.04,0.1,0.52,0.1,0.21,0.1
22Month,0,0.55,0.27,0,0,0,0,0
