stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,14,0,0,0,0,0,0
72hpf,0.56,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.41,12.12,0.28,0,0,0.56,0.28,0.28,0,0,0.28,0,0
21Day,0,0,4.07,0.37,1.11,0,0.37,0,0,0,0,0,1.11,0,0,1.48,24.05,0.37,0,0,0.37,0,0.37,1.11,0,0,0,0
3Month,0,0.21,1.04,0,0,0.1,0,0.1,0.21,0,1.98,0.21,0,0.21,0.1,0.52,37.97,0.31,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.21,0.31
22Month,0,0.27,0.96,0,0,0,0,0.14,0.55,0.27,6.42,0,0,0.14,0,0.14,6.56,0.14,0,0,0,0,0,0,0,0.14,0,0.14
