stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,1,0,8,0,9,35,0,0,0,0,0,0,0
72hpf,7.05,0.28,0.85,0,0,0,0,0.28,1.97,1.69,1.97,0,89.35,12.97,0,0.56,0,0,0.85,0.28,0
21Day,2.22,0.37,0,0.37,0,0,0,0,0,0.74,0.37,0,7.03,1.48,0,0,0,0.74,0,0,0
3Month,0.1,0,0,0,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0.1,1.35,0,0,0.31
22Month,0,0,0,0,0.55,0.55,0.14,0,0,0,0,0.14,0,0,0.14,0,0,0.41,0,0,0
