stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,4.51,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0.74,0.37,0,0,0,0,3.33,0,0,0,0.37,0,0,0,0,0.37,0
3Month,0.62,0,0.1,0.21,0,0.1,0,0,0.1,0,0,0,0.1,0,0.31,0,0
22Month,0.14,0,0,0.41,0.27,0.41,0,0.27,0.14,0.14,0,0,0,0,0,0,0.14
