stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0,0,0,2.54,1.69,0.85,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0.74,0.37,1.11,0,0,0,0.37,0,0.74
3Month,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0
22Month,0.14,0,0.14,0.14,0.14,17.76,0.27,0.14,0,0.68,0,1.37,0,0,0,0.55,0
