stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,1,0,1,0,0,0
72hpf,0.28,0.28,0,0,0,0,0.28,0,1.41,1.13,0.56,0,0.28
21Day,0,0,0,0,0,0.37,0.37,1.48,0,0,0.74,0.37,0.37
22Month,0,0,0.41,0.14,0.14,0,0,0,0,0,0,0,0
