stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0.85,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,4.81,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0.37,0.37,0,0
3Month,0.21,0.1,1.46,0,0.1,0.21,0,1.04,0.31,0,0.42,6.97,0.21,0.42,0.52,0.1,0.1,0.21,0,0.1,0,0,0,0.42,0,0,0.21,0.21
22Month,0.55,0,0.27,0.14,0.14,0.55,0.14,2.19,0.41,0.27,0,0,0,0.14,0.27,0.27,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0
