stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,2,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,4.23,0,0.28,0,0,0,0,0,0
21Day,0,0.37,0,0.37,26.64,0.37,0.37,0.37,0.37,0.37,0.37,0,0.37
3Month,0.21,0,0.1,0,0.52,0,0,0,0,0,0,0.1,0
22Month,0,0,0,0.27,0,0,0.14,0,0,0,0,0,0
