stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,1.97,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,1.11,0,0,7.03,0,0,0,0,0.37,0,0,0.37,0.37,0,0.37
3Month,0,0.73,0,0.21,0.21,0,1.66,0.42,0.1,0.1,0,15.29,0,0.1,0,0.1,0,0,0.1,0.1,0,0.21,0.83
22Month,0.14,0.14,0,0,0.14,0.14,2.6,0,0,0,0.41,5.19,0.14,0,0.14,0,0.14,0,0,0,0,0,0.14
