stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,8,0,1,0,0,0,0,1,3,0,12,0,0,3,193,0,0,3,0,0,0,0,0,3,0,0,0
72hpf,1.13,0.28,0,0.28,0.28,0.56,0,0,0,0,0.56,2.25,0,2.54,0,0,20.29,21.98,0,0,2.25,0,0,0.56,0,0,0.28,0,0,0
21Day,1.48,0.37,1.11,1.48,0.37,1.85,0,0.37,0.37,1.11,0.37,1.11,0.74,7.4,0,1.11,12.58,12.21,0,0.37,4.07,1.48,0,1.48,0,0.37,0,0,0,0.37
3Month,0,0.31,0,1.04,0,0,0.1,0.42,0.1,0.31,0.1,0.21,0,0.21,0.1,0,0,0,0.1,0.1,0,0,0.52,0.21,0,0,0,0.1,0.21,0.1
22Month,0,0,0,0.27,0,0,0.14,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0
