stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0,0.56,0,1.69,0,2.82,0.85,0,0.28,0.28,0,0,0.28,0,0,0,0,0
21Day,3.33,0.37,0,14.43,0.37,7.03,0.74,0,0.74,0,2.22,0.37,3.7,0.37,0.37,6.66,1.48,19.61,1.11,10.36,4.44,0.37,0.74,6.66,2.59,0,0.74,1.11,2.22,0,0,1.48
3Month,0,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0,0.21,0,0,0,0.1,0,0,0,0,0,0,0.1,2.6,0,0,0,0.1,2.39,0.1
22Month,0,0,0,0.27,0,0,0,0,0,0,0.27,0,0,0,0,0.27,0.27,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14
