stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.85,0,0,0,0,0,0,0,0,0.28,0,0.28,1.41,0,0.56,0,0.28,0,14.09,1.13,0,0,0.85,0,0,0,0.56,0,0,0
21Day,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0.74,0.37,0,0.74,0.74,1.11,0,0,0,1.85,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0,1.14,0.31,6.55,0.31,0.21,0.94,1.04,0,0,3.95,3.22,0.62,0.52,0.94,2.5,7.39,1.14,0.83,0.73,1.25,0.31,0,0.1,0.52,0,0.42,1.56,0,0.1,0.73,0.21,3.43
22Month,0,6.97,0.27,5.88,0.14,0,0.68,2.6,2.46,0,8.88,2.46,0.96,0.82,0.27,1.37,6.42,3.96,0.27,0.41,0,0.27,0.14,0.27,0.14,0.14,0.27,0.27,0.27,0.55,0.41,0,1.78
