stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,16.35,0.28,0,0,0,0,3.66,3.95,0.56,0
21Day,0,1.11,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0,6.66,0.74,0.37,0.37,0.37,0.37,7.4,9.99,0.37,0
3Month,0.21,0.52,0,0,0.1,0.1,0,0.42,0.1,0.21,0.1,0.1,0,0,0.1,0,0,0,0.1,3.95,0,0,0,0,0.83
22Month,0.14,0,0,0.27,0,0,0.14,2.32,0.14,0.14,0,0.27,0.27,0,0,0,0,0,0,0.14,0,0.14,0,0,0
