stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20,3,0,13,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,13,0,0,0,0,10,45,0,0,3,0,0,0,0,2,0,0,0
72hpf,5.07,0,0,9.58,0.56,0.85,0,0,0,0,0,0.28,0,0,0,0,3.38,17.47,0.56,15.22,0,0,1.69,0,152.2,19.45,0.56,0.56,17.76,0,0,2.25,0.85,0.28,0,0,0
21Day,7.77,1.48,1.11,30.71,2.22,3.7,0.74,0,0,0.74,0,0,0.74,0.37,1.48,0,4.07,10.73,2.22,38.48,0,0,7.03,0,87.69,12.58,0.74,1.48,20.72,1.85,0,2.59,0.74,1.11,0,0,0.37
3Month,0,0.94,0.1,5.72,0.1,0,0,0.1,0.31,0.94,0.1,0,5.72,0.1,0,0.94,0.62,3.12,0.73,5.2,0.42,0,0.21,1.04,0.52,0.21,0.21,0.21,0.1,0,0.52,0,0,0,1.98,0.52,0.52
22Month,0.14,1.64,0.14,1.5,0.14,0,0,0,0.14,0.41,0.41,0,7.79,0.14,0,0.68,0,0.27,0.55,3.69,0.14,0.27,0.41,0,0.14,0.27,0.68,0,0,0.14,0.55,0,0.14,0.14,0.41,0,0
