stage,Erythrocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Retinal_cone_cell
72hpf,0.56,0,0,0,0.28,0,0,0
21Day,0.37,0,0,0.37,3.33,1.11,0.37,0.37
3Month,0,0.1,0,0,1.35,0.52,0,0
22Month,0,0.41,0.27,0.27,0.41,0.68,0,0
