stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0.56,0,0,0,0,0
21Day,0,1.11,0,0,0,0,0.37,0,0,1.48,0,0,0,0.74,0,0,0,0,1.11
3Month,0,1.87,0.42,0,0.94,0.1,0.1,1.46,0.21,0.21,0.42,0.21,0.1,0,0,0.1,0.52,0,0.21
22Month,0,0.14,0.14,0.14,0.55,0,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0,0.14,0
