stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,2.25,0,0,0,0,0,1.13,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.31,22.78,0.52,0.21,0.1,0.21,1.14,0,4.78,1.35,0,1.87,4.89,0.73,0.73,0.94,0.1,0.1,0,0.73,2.18,0.1,0.1,0.21,0.1,0,28.08,0.1,0.52,0.21,101.21,0.83
22Month,0.14,6.97,0.27,0.14,0,0,1.09,1.23,13.8,0.27,0.14,1.5,0.27,0.41,1.37,0.68,0,0.14,0.27,0.27,0.96,0,0,0,0,0.14,6.83,0,0,0.14,0,0.27
