stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,5,0,5,0,2,52,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,1.13,2.54,0,0.56,0,0.85,0,0,0,0,0,0,0,0,1.69,1.97,0.28,2.54,0.28,29.88,20.57,0,0,0.28,0.28,0,5.92,0,0,1.13,0,0,0
21Day,5.55,1.11,0,29.97,0.37,0.74,0,0,0,0,0.37,0,0.74,0,5.92,14.06,0,10.73,2.96,19.24,8.14,0.37,0,1.48,2.22,0,0.74,1.11,0.37,0.37,0,0,0
3Month,0.1,0.94,0.1,4.06,0,0,0.21,0,0,0,0.52,0.1,0,0,0.1,0.21,0.31,0.83,0.21,0,0,0,0,0,0,1.04,0.31,0,0,0,0.1,0.52,0.1
22Month,0,0.96,0,0.82,0,0,0.27,0.14,6.01,0,1.91,0,0,0.27,0.27,0,0.14,0.27,0.14,0.14,0.55,0,0.14,0,0,0.14,0.55,0,0,0.14,0,0,0
