stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.56,0.28,0,0,0,0,0,0,0.28,0,0,0.85,0,0,0,5.36,0.85,0.28,0,0,0,0.56,0,0,0
21Day,0.37,0,1.48,0,0,0,0,0.37,0.37,0,0,0.37,0.37,2.59,0,0,0.37,4.81,0,0.37,0.37,0.37,0,1.11,0,0,0
3Month,0.1,0.31,0.42,0,0,0.1,0.94,0,0,0.21,0,0.62,0.21,1.04,0.1,0,0.1,0.21,0.1,0,0,0,0.21,0.21,0.1,0.31,0
22Month,0,0.27,0.14,0,0.14,0.27,1.91,0.14,0,0.27,0,0.14,0.14,1.64,0,0.14,0,0,0.14,0.14,0,0,0.14,0,0,0,0.14
