stage,Enterocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,2,0
72hpf,0,0,0,0.28,0,0.28,0
3Month,0,0,0,0,0,0,0.21
22Month,0.14,0.14,0.82,0,0.14,0,0
