stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,3,0,0,2,29,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0.85,0,0.85,0.28,0.28,17.47,10.15,0.85,0,0,0.56,0.28,0,0,0
21Day,0.74,0,0,2.22,0,0.37,1.11,0,0.74,0,0,0,0.37,0.37,0.74,1.11,0.74,3.33,0,1.11,8.88,5.92,1.11,0.37,0.37,0.37,0.37,0.37,0,0.37
3Month,0,0.1,0,0.94,0.1,0,0,0.1,0.42,0,1.14,0.1,0.1,0.21,0,0.31,0.31,0.21,0,0.1,0,0,0,0,1.14,0,0,0,0.42,0.42
22Month,0,0,0.27,0.41,0,0,0,0,0.14,0,2.73,0,0,0.27,0,0.14,0.68,0.55,0,0,0.14,0,0,0,0.14,0,0,0,0,0
