stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,4.44,2.22,0,1.85,0,0.37,0,0,5.55,0,19.98,0.37,0.74,0,1.48,0,0,0.74,1.85,1.85,1.85,0,0,0.74,0.74,0,0,0,0,0,0.37
3Month,0,0,4.47,2.39,0.1,0,0.31,2.91,0.62,0,10.71,0.31,88.1,0,0.42,0.31,1.14,0.31,0,0.21,4.68,0.21,0,0.42,0.31,0.1,0.83,0.1,2.6,0,0.1,0.52,0.83
22Month,0,0.27,2.32,0.96,0,0,0,3.42,0.68,0.14,13.8,0.27,77.07,0,0,0,0,0,0.14,0,0.41,0,0,0.27,0,0,0,0,1.09,0.14,0,0,0.27
