stage,Cardiomyocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0.28,0,4.23,1.13,0.28,0,0.28,0.28
21Day,0.37,0,0,0,0.37,0,0.74,0.74,0,0.37,0.37,0
3Month,0,0.31,0.1,0,0.1,0,0,0,0,0.1,0,0
22Month,0,0.55,0,0.14,0,0.14,0,0,0,0,0,0
