stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.38,1.13,0,1.97,0,1.41,0,0,0,0,0,0,0.28,0,0.56,5.07,0.28,2.54,0,0.85,0.56,363.02,10.15,0.56,3.1,4.79,0.28,0,3.66,0.28,0.56,0.56,0,0
21Day,1.48,0,0,2.96,0.37,4.44,0.37,0,0,0,0.74,0.37,0.74,0.74,0.74,1.48,0.74,14.43,0,0,1.85,156.5,7.03,0.37,7.03,3.7,4.81,0,1.48,0.37,1.48,0.37,0,0.37
3Month,0,0,0.1,0.42,0,0,0,0.1,0.42,0,0.94,0.31,0.1,0.42,0.1,0.21,0,0.31,0.1,0,0,0.62,0,0,1.04,0,0.1,0.52,0,0,0,0,0.42,0.1
22Month,0,0.41,0.27,0.27,0,0,0,0.27,0.68,0.14,9.7,0.14,0.41,1.23,0,0,0.41,0.82,0.14,0.27,0.27,0,0,0.14,0.27,0,0,0.96,0,0,0,0,0,0.27
