stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0.28,0,0.85,0.28,0,0.28,0,0,0,0,0,0,30.72,0,0.28,0,1.41,1.13,0,0.56,0,0,0,0,0,0
21Day,1.48,0.37,48.1,0,1.85,0,0,0.37,0.37,0.74,0.74,1.48,76.22,0.37,8.14,0.74,5.92,0.74,0.37,2.59,1.48,0,1.11,0.37,0.37,0.37
3Month,0,0,1.04,0,0,0,0.1,0.52,0.1,0,0.21,0.1,0,0,0.1,0,0,0,0,0,0,0.31,0,0,0,0.31
22Month,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
