stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,45,0,0,1,0,0,0,0,0,0
72hpf,0,0,1.13,0,0.56,0,0,0,0,0,0,0,0,0,0.28,1.41,0,1.97,0,0.28,0,3.38,6.2,0,0,0.85,0,0,0.28,0,0,0
21Day,0.37,0,2.96,0.37,1.11,0,0,0,0,0,0,0,0.37,0.37,0,1.11,0,2.22,0,0,0,1.11,3.33,0,0,0,0,0,1.11,0,0,0.37
3Month,0.1,0.1,2.39,0,0,0.1,0.1,0.31,0.83,0,3.85,0.73,0.31,3.22,0.52,0.21,0.73,0.94,0.21,0.1,0,0,0,0,0.1,0.1,0.21,2.18,0,0.21,0.62,1.14
22Month,0.14,0,0.41,0,0,0.14,0,0.27,1.09,0.14,5.74,0,0.41,0.82,0.14,0,0.41,1.09,0,0,0.14,0.14,0.14,0.14,0.14,0,0,0.41,0,0,0,0.14
