stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0.28,0,0.28,0,0,3.95,0.56,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,2.96,0.74,0,0.37,0,0
3Month,0,0.42,0.42,0.1,0.1,0.21,0.52,0,0.1,1.04,0,0.1,0,0,0,0,0.1,0,0,0.1
22Month,0,0,0.14,0,0,0.55,1.78,0.14,0,0,0.14,0,0.14,0,0,0.14,0.27,0,0,0
