stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,1.41,0.56,0.28,0,0.56,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37
3Month,0.1,0,0.62,0.21,0.1,0.1,0,0.31,0.1,0,0,0,0.73,0,0.31,2.5
22Month,0,0,0.14,0,0.68,0,0.55,0,0,0,0,0,1.37,0,0,0.68
