stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,7.61,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0.28,1.97,4.23,0,0,0,1.69,0,0,3.95,0.28,0,1.13,0,0,0
21Day,0.37,0,0,2.22,1.11,0.37,0,0,0,0,0,0,0,3.7,0,0,0,1.11,0,0,0,1.48,1.11,0,0,0,0.74,0,0,1.48,0,0.74,1.48,0,0,0.37
3Month,0,0.52,0.21,15.91,0.94,0,0.31,1.46,0.73,0,8.32,0.94,0.1,28.92,0.62,1.14,0.21,0.62,0,1.46,0.21,0.21,0.21,0.1,0.31,0,0.1,0.31,20.6,1.77,0,0,2.08,0.42,16.54,0.42
22Month,0,0,0.14,7.65,1.37,0,0,0.55,0.55,0.14,4.92,0.14,0,17.08,0.27,0.41,0.14,0.27,0.27,0.14,0,0.14,0.27,0,0.14,0.14,0,0,1.37,0.96,0.14,0,0.55,0,0.14,0
